Chromosome	Start	End	Strand	gene	locus_tag
chrV	347912	348400	-	AIM11	YER093C-A
chrV	348729	349346	-	PUP3	YER094C
chrV	349980	351182	+	RAD51	YER095W
chrV	351698	353236	+	SHC1	YER096W
chrV	354934	355005	+	YNCE0018W	YNCE0018W
chrV	355466	357730	+	UBP9	YER098W
chrV	358105	359061	-	PRS2	YER099C
chrV	359562	360314	+	UBC6	YER100W
chrV	360502	361794	-	AST2	YER101C
chrV	363100	363702	+	RPS8B	YER102W
chrV	364589	366517	+	SSA4	YER103W
chrV	366802	367428	+	RTT105	YER104W
chrV	367838	372013	-	NUP157	YER105C
chrV	372326	373234	+	MAM1	YER106W
chrV	373448	374545	-	GLE2	YER107C
chrV	375215	377614	-	FLO8	YER109C
chrV	378762	382103	-	KAP123	YER110C
chrV	382595	385876	-	SWI4	YER111C
chrV	387232	387795	+	LSM4	YER112W
chrV	387932	390052	-	TMN3	YER113C
chrV	390590	393712	-	BOI2	YER114C
chrV	394292	394867	-	SPR6	YER115C
chrV	395348	396172	-	SLX8	YER116C
chrV	396769	397653	+	RPL23B	YER117W
chrV	397952	399055	-	SHO1	YER118C
chrV	399496	400842	-	AVT6	YER119C
chrV	401135	401869	+	SCS2	YER120W
chrV	402375	402719	+	YER121W	YER121W
chrV	402871	404352	-	GLO3	YER122C
chrV	404813	406387	+	YCK3	YER123W
chrV	407342	409063	-	DSE1	YER124C
chrV	410189	412618	+	RSP5	YER125W
chrV	413394	414179	-	NSA2	YER126C
chrV	414481	415554	+	LCP5	YER127W
chrV	415859	416470	+	VFA1	YER128W
chrV	417281	420709	+	SAK1	YER129W
chrV	421115	422446	-	COM2	YER130C
chrV	423952	424311	+	RPS26B	YER131W
chrV	424698	424883	+	SNR4	YNCE0019W
chrV	425188	430449	-	PMD1	YER132C
chrV	431129	431220	-	SNR52	YNCE0020C
chrV	432495	433958	+	GLC7	YER133W
chrV	434541	434612	-	YNCE0021C	YNCE0021C
chrV	435752	435824	-	YNCE0022C	YNCE0022C
chrV	437267	437803	-	YER134C	YER134C
chrV	437952	438344	-	YER135C	YER135C
chrV	438700	438773	+	YNCE0023W	YNCE0023W
chrV	439616	440971	+	GDI1	YER136W
chrV	441373	441819	-	YER137C	YER137C
chrV	441987	442508	+	SCR1	YNCE0024W
chrV	443202	443275	-	YNCE0025C	YNCE0025C
chrV	443756	449024	-	YER138C	YER138C
chrV	447702	449024	-	YER137C-A	YER137C-A
chrV	449474	449578	+	YER138W-A	YER138W-A
chrV	450563	451243	-	RTR1	YER139C
chrV	451565	453235	+	EMP65	YER140W
chrV	453459	454919	+	COX15	YER141W
chrV	455146	456036	-	MAG1	YER142C
chrV	456319	457605	+	DDI1	YER143W
chrV	457806	460223	-	UBP5	YER144C
chrV	460526	461740	-	FTR1	YER145C
chrV	462386	462823	-	YER145C-A	YER145C-A
chrV	462585	462866	+	LSM5	YER146W
chrV	462968	464842	-	SCC4	YER147C
chrV	465303	466025	+	SPT15	YER148W
chrV	466208	467470	-	PEA2	YER149C
chrV	468370	468816	+	SPI1	YER150W
chrV	469457	469530	+	YNCE0026W	YNCE0026W
chrV	469686	472424	-	UBP3	YER151C
chrV	472657	473988	-	YER152C	YER152C
chrV	474041	474805	-	PET122	YER153C
chrV	475020	476228	+	OXA1	YER154W
chrV	476345	482848	-	BEM2	YER155C
chrV	483325	484341	-	MYG1	YER156C
chrV	484788	487193	+	COG3	YER157W
chrV	487331	487402	-	YNCE0027C	YNCE0027C
chrV	488857	490578	-	YER158C	YER158C
chrV	491530	491958	-	BUR6	YER159C
chrV	492352	492424	-	YNCE0028C	YNCE0028C
chrV	492856	498124	-	YER160C	YER160C
chrV	496802	498124	-	YER159C-A	YER159C-A
chrV	499347	500348	-	SPT2	YER161C
chrV	500630	502894	-	RAD4	YER162C
chrV	503084	503782	-	GCG1	YER163C
chrV	505392	509798	+	CHD1	YER164W
chrV	510373	512106	+	PAB1	YER165W
chrV	512744	517459	+	DNF1	YER166W
chrV	518216	520771	+	BCK2	YER167W
chrV	521029	522669	-	CCA1	YER168C
chrV	523369	525759	+	RPH1	YER169W
chrV	525974	526651	+	ADK2	YER170W
chrV	527082	529418	+	RAD3	YER171W
chrV	529530	536021	-	BRR2	YER172C
chrV	536300	538279	+	RAD24	YER173W
chrV	538434	539168	-	GRX4	YER174C
chrV	539464	540363	-	TMT1	YER175C
chrV	540650	540814	+	YER175W-A	YER175W-A
chrV	541690	545055	+	ECM32	YER176W
chrV	545611	546414	+	BMH1	YER177W
chrV	546817	548079	+	PDA1	YER178W
chrV	548421	549517	+	DMC1	YER179W
chrV	549724	550527	-	ISC10	YER180C
chrV	550865	551122	-	SLO1	YER180C-A
chrV	551285	551358	-	YNCE0029C	YNCE0029C
chrV	551473	551796	-	YER181C	YER181C
chrV	552525	553259	+	FMP10	YER182W
chrV	553334	553969	-	FAU1	YER183C
chrV	556296	558680	-	TOG1	YER184C
chrV	559454	560365	+	PUG1	YER185W
chrV	561705	562625	-	YER186C	YER186C
chrV	566230	566655	+	YER187W	YER187W
chrV	568040	568759	+	YER188W	YER188W
chrV	569608	569907	-	YER188C-A	YER188C-A
chrV	571155	571523	+	YER189W	YER189W
chrV	571480	576525	+	YRF1-2	YER190W
chrV	575680	576162	-	YER190C-B	YER190C-B
chrVI	53	535	+	YFL068W	YFL068W
chrVI	836	1363	+	YFL067W	YFL067W
chrVI	1437	2615	-	YFL066C	YFL066C
chrVI	3030	3338	-	YFL065C	YFL065C
chrVI	3322	3846	-	YFL064C	YFL064C
chrVI	6426	7565	+	COS4	YFL062W
chrVI	9545	10222	+	DDI3	YFL061W
chrVI	10301	10969	-	SNO3	YFL060C
chrVI	11363	12259	+	SNZ3	YFL059W
chrVI	12929	13951	+	THI5	YFL058W
chrVI	14305	15431	-	AAD6	YFL056C
chrVI	17004	18680	+	AGP3	YFL055W
chrVI	20847	22787	-	AQY3	YFL054C
chrVI	23423	25198	+	DAK2	YFL053W
chrVI	28232	29629	+	ZNF1	YFL052W
chrVI	30058	30540	-	YFL051C	YFL051C
chrVI	33272	35848	-	ALR2	YFL050C
chrVI	36803	38674	+	SWP82	YFL049W
chrVI	38843	40180	-	EMP47	YFL048C
chrVI	40421	42565	+	RGD2	YFL047W
chrVI	42815	43438	+	FMP32	YFL046W
chrVI	43628	44392	-	SEC53	YFL045C
chrVI	44655	45560	-	OTU1	YFL044C
chrVI	45720	47744	-	LAM5	YFL042C
chrVI	48734	48925	+	YFL041W-A	YFL041W-A
chrVI	49139	51007	+	FET5	YFL041W
chrVI	51350	52972	+	YFL040W	YFL040W
chrVI	53260	54696	-	ACT1	YFL039C
chrVI	55366	55986	-	YPT1	YFL038C
chrVI	56336	57709	+	TUB2	YFL037W
chrVI	57815	58521	-	RUF21	YNCF0001C
chrVI	58782	62837	+	RPO41	YFL036W
chrVI	63016	63993	-	MOB2	YFL034C-B
chrVI	64243	64932	-	RPL22B	YFL034C-A
chrVI	65477	68698	+	MIL1	YFL034W
chrVI	69115	74427	-	RIM15	YFL033C
chrVI	75179	76147	+	HAC1	YFL031W
chrVI	76831	77988	+	AGX1	YFL030W
chrVI	78055	79161	-	CAK1	YFL029C
chrVI	79344	80213	-	CAF16	YFL028C
chrVI	80419	81912	-	GYP8	YFL027C
chrVI	82580	83875	+	STE2	YFL026W
chrVI	84145	87234	-	BST1	YFL025C
chrVI	87847	90345	-	EPL1	YFL024C
chrVI	90986	93376	+	BUD27	YFL023W
chrVI	93499	95010	-	FRS2	YFL022C
chrVI	95966	97498	+	GAT1	YFL021W
chrVI	99231	99599	-	PAU5	YFL020C
chrVI	100252	100605	-	YFL019C	YFL019C
chrVI	101376	101478	+	SUF9	YNCF0002W
chrVI	101628	103127	-	LPD1	YFL018C
chrVI	103699	103932	+	SMX2	YFL017W-A
chrVI	103983	104462	-	GNA1	YFL017C
chrVI	104701	106236	-	MDJ1	YFL016C
chrVI	106469	106963	-	YFL015C	YFL015C
chrVI	107256	107585	+	HSP12	YFL014W
chrVI	107852	109930	-	IES1	YFL013C
chrVI	110647	111093	+	YFL012W	YFL012W
chrVI	112345	113985	+	HXT10	YFL011W
chrVI	114990	115274	+	AUA1	YFL010W-A
chrVI	115108	115743	-	WWM1	YFL010C
chrVI	116145	118484	+	CDC4	YFL009W
chrVI	119429	123106	+	SMC1	YFL008W
chrVI	123479	129910	+	BLM10	YFL007W
chrVI	130334	130981	+	SEC4	YFL005W
chrVI	131061	131503	-	RUF20	YNCF0003C
chrVI	131810	134296	+	VTC2	YFL004W
chrVI	134521	137157	-	MSH4	YFL003C
chrVI	137486	137559	-	YNCF0004C	YNCF0004C
chrVI	138204	143517	+	YFL002W-A	YFL002W-A
chrVI	138204	139520	+	YFL002W-B	YFL002W-B
chrVI	145114	146934	-	SPB4	YFL002C
chrVI	147131	148459	+	DEG1	YFL001W
chrVI	149110	149724	+	LOC1	YFR001W
chrVI	150016	152535	+	NIC96	YFR002W
chrVI	152657	153124	-	YPI1	YFR003C
chrVI	153393	154313	+	RPN11	YFR004W
chrVI	154527	155873	-	SAD1	YFR005C
chrVI	156145	157752	+	YFR006W	YFR006W
chrVI	157916	158007	-	YNCF0005C	YNCF0005C
chrVI	159299	160360	+	YFH7	YFR007W
chrVI	160535	161200	+	FAR7	YFR008W
chrVI	162228	162298	+	SUF20	YNCF0006W
chrVI	162488	164746	+	GCN20	YFR009W
chrVI	165067	166566	+	UBP6	YFR010W
chrVI	166746	167258	-	MIC19	YFR011C
chrVI	167437	167525	+	SUP11	YNCF0007W
chrVI	167888	168496	+	DCV1	YFR012W
chrVI	169224	169310	+	YFR012W-A	YFR012W-A
chrVI	169922	172285	+	IOC3	YFR013W
chrVI	172537	173877	-	CMK1	YFR014C
chrVI	174265	176391	-	GSY1	YFR015C
chrVI	177042	180743	-	AIP5	YFR016C
chrVI	180974	181044	-	YNCF0008C	YNCF0008C
chrVI	182274	182861	-	IGD1	YFR017C
chrVI	183131	184222	-	YFR018C	YFR018C
chrVI	184502	191338	+	FAB1	YFR019W
chrVI	191513	191613	-	YNCF0009C	YNCF0009C
chrVI	192737	193435	+	CSS2	YFR020W
chrVI	194812	196314	+	ATG18	YFR021W
chrVI	196833	199034	+	ROG3	YFR022W
chrVI	199299	199813	-	RUF22	YNCF0010C
chrVI	199874	201709	+	PES4	YFR023W
chrVI	201960	203433	-	LSB3	YFR024C-A
chrVI	203743	204750	-	HIS2	YFR025C
chrVI	204924	204996	-	YNCF0011C	YNCF0011C
chrVI	205748	206257	-	ULI1	YFR026C
chrVI	207452	208297	+	ECO1	YFR027W
chrVI	208413	210068	-	CDC14	YFR028C
chrVI	210619	210707	-	SUP6	YNCF0012C
chrVI	210937	212973	+	PTR3	YFR029W
chrVI	213312	216419	+	MET10	YFR030W
chrVI	216594	220106	-	SMC2	YFR031C
chrVI	220507	221418	-	RPL2A	YFR031C-A
chrVI	221714	221967	+	RUF23	YNCF0013W
chrVI	222090	222959	-	RRT5	YFR032C
chrVI	223258	223437	-	RPL29	YFR032C-A
chrVI	223710	223973	-	MIN10	YFR032C-B
chrVI	224326	224769	-	QCR6	YFR033C
chrVI	225020	225958	-	PHO4	YFR034C
chrVI	226121	226465	-	YFR035C	YFR035C
chrVI	226688	226760	-	YNCF0014C	YNCF0014C
chrVI	226963	227337	+	CDC26	YFR036W
chrVI	227513	229186	-	RSC8	YFR037C
chrVI	229380	231941	+	IRC5	YFR038W
chrVI	232012	233544	-	OSW7	YFR039C
chrVI	234242	237250	+	SAP155	YFR040W
chrVI	237368	238255	-	ERJ5	YFR041C
chrVI	238458	239060	+	KEG1	YFR042W
chrVI	239114	239827	-	IRC6	YFR043C
chrVI	239992	241437	-	DUG1	YFR044C
chrVI	241998	242999	+	MRX20	YFR045W
chrVI	243074	244159	-	CNN1	YFR046C
chrVI	244279	245166	-	BNA6	YFR047C
chrVI	246146	248134	+	RMD8	YFR048W
chrVI	248523	248894	+	YMR31	YFR049W
chrVI	249066	249866	-	PRE4	YFR050C
chrVI	250163	251803	-	RET2	YFR051C
chrVI	252505	253329	+	RPN12	YFR052W
chrVI	253592	255049	-	HXK1	YFR053C
chrVI	258855	259433	-	YFR054C	YFR054C
chrVI	264204	265226	+	IRC7	YFR055W
chrVI	269061	269516	+	YFR057W	YFR057W
chrVII	2790	3932	+	COS12	YGL263W
chrVII	5312	5839	+	YGL262W	YGL262W
chrVII	6290	6652	-	PAU11	YGL261C
chrVII	6860	7090	+	YGL260W	YGL260W
chrVII	8470	8967	+	YPS5	YGL259W
chrVII	9162	9395	+	YGL258W-A	YGL258W-A
chrVII	11110	11730	+	VEL1	YGL258W
chrVII	12481	14157	-	MNT2	YGL257C
chrVII	15159	16307	+	ADH4	YGL256W
chrVII	20978	22108	+	ZRT1	YGL255W
chrVII	22304	23203	+	FZF1	YGL254W
chrVII	23935	25395	+	HXK2	YGL253W
chrVII	25718	27484	-	RTG2	YGL252C
chrVII	27921	31636	-	HFM1	YGL251C
chrVII	31910	32635	+	RMR1	YGL250W
chrVII	33098	35212	+	ZIP2	YGL249W
chrVII	33109	35013	-	RME3	YNCG0001C
chrVII	35653	36762	+	PDE1	YGL248W
chrVII	36933	37526	+	BRR6	YGL247W
chrVII	37617	38780	-	RAI1	YGL246C
chrVII	39023	41149	+	GUS1	YGL245W
chrVII	41498	43174	+	RTF1	YGL244W
chrVII	43307	44509	+	TAD1	YGL243W
chrVII	44652	45197	-	YGL242C	YGL242C
chrVII	45445	48459	+	KAP114	YGL241W
chrVII	48613	49365	+	DOC1	YGL240W
chrVII	49552	52434	+	CSE1	YGL238W
chrVII	52731	53528	-	HAP2	YGL237C
chrVII	53787	55796	-	MTO1	YGL236C
chrVII	55279	55815	+	YGL235W	YGL235W
chrVII	56482	58890	+	ADE57	YGL234W
chrVII	59122	61854	+	SEC15	YGL233W
chrVII	62075	63002	+	TAN1	YGL232W
chrVII	63048	63620	-	EMC4	YGL231C
chrVII	63772	64215	-	YGL230C	YGL230C
chrVII	64503	66959	-	SAP4	YGL229C
chrVII	67598	69331	+	SHE10	YGL228W
chrVII	69671	72547	+	VID30	YGL227W
chrVII	72749	73158	-	OST5	YGL226C-A
chrVII	73340	73711	+	MTC3	YGL226W
chrVII	73829	73902	-	YNCG0002C	YNCG0002C
chrVII	76894	77907	+	VRG4	YGL225W
chrVII	78015	78857	-	SDT1	YGL224C
chrVII	79112	80365	-	COG1	YGL223C
chrVII	80659	81186	-	EDC1	YGL222C
chrVII	81426	82292	-	NIF3	YGL221C
chrVII	82374	82736	+	BOL2	YGL220W
chrVII	82878	84257	-	MDM34	YGL219C
chrVII	84885	87302	+	KIP3	YGL216W
chrVII	87981	89339	+	CLG1	YGL215W
chrVII	90054	91247	-	SKI8	YGL213C
chrVII	91432	92382	+	VAM7	YGL212W
chrVII	92512	93591	+	NCS6	YGL211W
chrVII	93792	94460	+	YPT32	YGL210W
chrVII	95858	97006	+	MIG2	YGL209W
chrVII	97338	98585	+	SIP2	YGL208W
chrVII	98969	102076	+	SPT16	YGL207W
chrVII	102543	107504	-	CHC1	YGL206C
chrVII	108158	110404	+	POX1	YGL205W
chrVII	110625	110696	-	YNCG0003C	YNCG0003C
chrVII	111700	112005	-	YGL204C	YGL204C
chrVII	112475	114664	-	KEX1	YGL203C
chrVII	115488	115583	+	YNCG0004W	YNCG0004W
chrVII	116059	117561	+	ARO8	YGL202W
chrVII	117854	120907	-	MCM6	YGL201C
chrVII	122269	122341	+	YNCG0005W	YNCG0005W
chrVII	122694	123305	-	EMP24	YGL200C
chrVII	123591	124298	+	YIP4	YGL198W
chrVII	124698	129161	+	MDS3	YGL197W
chrVII	129883	131169	+	DSD1	YGL196W
chrVII	131525	139543	+	GCN1	YGL195W
chrVII	139719	139961	-	YGL194C-A	YGL194C-A
chrVII	140368	141726	-	HOS2	YGL194C
chrVII	141898	144120	-	RME2	YNCG0006C
chrVII	141916	142227	-	YGL193C	YGL193C
chrVII	142246	144048	+	IME4	YGL192W
chrVII	144808	145197	+	COX13	YGL191W
chrVII	145809	147389	-	CDC55	YGL190C
chrVII	148229	148588	-	RPS26A	YGL189C
chrVII	148824	148964	-	YGL188C-A	YGL188C-A
chrVII	149704	150171	-	COX4	YGL187C
chrVII	151037	152776	-	TPN1	YGL186C
chrVII	153167	154306	-	YGL185C	YGL185C
chrVII	154615	156012	-	STR3	YGL184C
chrVII	156543	157285	-	MND1	YGL183C
chrVII	157906	159096	+	GTS1	YGL181W
chrVII	160065	162758	+	ATG1	YGL180W
chrVII	163409	165091	-	TOS3	YGL179C
chrVII	167352	170571	+	MPT5	YGL178W
chrVII	171415	173079	-	YGL176C	YGL176C
chrVII	173285	174322	-	SAE2	YGL175C
chrVII	174545	175345	+	BUD13	YGL174W
chrVII	175527	180113	-	XRN1	YGL173C
chrVII	180700	182118	+	NUP49	YGL172W
chrVII	182390	184084	+	ROK1	YGL171W
chrVII	184153	185394	-	SPO74	YGL170C
chrVII	185714	185786	-	YNCG0007C	YNCG0007C
chrVII	186059	187339	+	SUA5	YGL169W
chrVII	187464	187796	+	HUR1	YGL168W
chrVII	187616	190468	-	PMR1	YGL167C
chrVII	191129	191806	+	CUP2	YGL166W
chrVII	191978	193300	-	YRB30	YGL164C
chrVII	193707	196403	-	RAD54	YGL163C
chrVII	198138	199037	+	SUT1	YGL162W
chrVII	199210	200142	-	YIP5	YGL161C
chrVII	200561	202273	+	AIM14	YGL160W
chrVII	202721	203833	+	YGL159W	YGL159W
chrVII	205521	205634	+	YNCG0008W	YNCG0008W
chrVII	207033	208571	+	RCK1	YGL158W
chrVII	209006	210049	+	ARI1	YGL157W
chrVII	210416	213667	+	AMS1	YGL156W
chrVII	214081	215211	+	CDC43	YGL155W
chrVII	215278	216096	-	LYS5	YGL154C
chrVII	216273	217298	+	PEX14	YGL153W
chrVII	217524	220922	+	NUT1	YGL151W
chrVII	221104	225573	-	INO80	YGL150C
chrVII	225572	225877	+	YGL149W	YGL149W
chrVII	226399	227529	+	ARO2	YGL148W
chrVII	227754	228329	-	RPL9A	YGL147C
chrVII	228751	229686	-	RRT6	YGL146C
chrVII	230243	232348	+	TIP20	YGL145W
chrVII	232450	234507	-	ROG1	YGL144C
chrVII	234717	235958	-	MRF1	YGL143C
chrVII	236269	238119	-	GPI10	YGL142C
chrVII	238353	241085	+	HUL5	YGL141W
chrVII	241353	245012	-	YGL140C	YGL140C
chrVII	245716	248124	+	FLC3	YGL139W
chrVII	248494	249531	-	YGL138C	YGL138C
chrVII	249869	252738	+	SEC27	YGL137W
chrVII	252897	253859	-	MRM2	YGL136C
chrVII	254641	255294	+	RPL1B	YGL135W
chrVII	255663	256964	+	PCL10	YGL134W
chrVII	257707	261501	+	ITC1	YGL133W
chrVII	261648	265859	-	SNT2	YGL131C
chrVII	266145	267524	+	CEG1	YGL130W
chrVII	267723	269075	-	RSM23	YGL129C
chrVII	269293	270144	-	CWC23	YGL128C
chrVII	270392	270775	-	SOH1	YGL127C
chrVII	270997	272139	+	SCS3	YGL126W
chrVII	272520	274322	+	MET13	YGL125W
chrVII	274780	276714	-	MON1	YGL124C
chrVII	277617	278381	+	RPS2	YGL123W
chrVII	278946	280523	-	NAB2	YGL122C
chrVII	280777	281157	-	GPG1	YGL121C
chrVII	281634	283937	-	PRP43	YGL120C
chrVII	284442	285947	+	COQ8	YGL119W
chrVII	287350	287455	-	YNCG0009C	YNCG0009C
chrVII	288014	288451	-	YGL118C	YGL118C
chrVII	288512	289309	+	YGL117W	YGL117W
chrVII	289809	291641	+	CDC20	YGL116W
chrVII	292033	293001	+	SNF4	YGL115W
chrVII	293460	295637	+	YGL114W	YGL114W
chrVII	295932	297938	+	SLD3	YGL113W
chrVII	298178	299728	-	TAF6	YGL112C
chrVII	299978	301369	+	NSA1	YGL111W
chrVII	301537	303411	-	CUE3	YGL110C
chrVII	303649	304071	-	YGL108C	YGL108C
chrVII	304333	306273	-	RMD9	YGL107C
chrVII	306560	307009	+	MLC1	YGL106W
chrVII	307437	308567	+	ARC1	YGL105W
chrVII	308713	310173	-	VPS73	YGL104C
chrVII	310967	311927	+	RPL28	YGL103W
chrVII	312193	312840	+	YGK1	YGL101W
chrVII	313234	314283	+	SEH1	YGL100W
chrVII	314631	316553	+	LSG1	YGL099W
chrVII	316788	317055	+	SNR82	YNCG0010W
chrVII	317342	318079	+	USE1	YGL098W
chrVII	319781	319852	+	YNCG0011W	YNCG0011W
chrVII	321782	323230	+	SRM1	YGL097W
chrVII	325331	326161	+	TOS8	YGL096W
chrVII	328583	328654	+	SOE1	YNCG0012W
chrVII	328874	330607	-	VPS45	YGL095C
chrVII	331118	334465	-	PAN2	YGL094C
chrVII	334886	337639	+	SPC105	YGL093W
chrVII	337906	341859	+	NUP145	YGL092W
chrVII	342056	343042	-	NBP35	YGL091C
chrVII	343319	344584	+	LIF1	YGL090W
chrVII	344791	345153	-	MF(ALPHA)2	YGL089C
chrVII	345836	346201	+	YGL088W	YGL088W
chrVII	345986	346230	+	SNR10	YNCG0013W
chrVII	346406	346904	-	MMS2	YGL087C
chrVII	347119	349368	+	MAD1	YGL086W
chrVII	349616	350440	+	LCL3	YGL085W
chrVII	350616	352298	-	GUP1	YGL084C
chrVII	353058	355472	+	SCY1	YGL083W
chrVII	355827	356972	+	YGL082W	YGL082W
chrVII	357377	358339	+	YGL081W	YGL081W
chrVII	358636	359028	+	MPC1	YGL080W
chrVII	359444	360100	+	KXD1	YGL079W
chrVII	360288	361859	-	DBP3	YGL078C
chrVII	362225	363916	-	HNM1	YGL077C
chrVII	364335	365996	-	RPL7A	YGL076C
chrVII	365163	365251	-	SNR39	YNCG0014C
chrVII	366374	366469	-	SNR39B	YNCG0015C
chrVII	366925	368088	-	MPS2	YGL075C
chrVII	368753	371254	+	HSF1	YGL073W
chrVII	372012	374084	+	AFT1	YGL071W
chrVII	374459	374827	-	RPB9	YGL070C
chrVII	375087	375671	+	MNP1	YGL068W
chrVII	376101	377255	+	NPY1	YGL067W
chrVII	377609	379582	+	SGF73	YGL066W
chrVII	379760	381271	-	ALG2	YGL065C
chrVII	381523	383208	-	MRH4	YGL064C
chrVII	383654	384766	+	PUS2	YGL063W
chrVII	385196	388732	+	PYC1	YGL062W
chrVII	388968	389711	-	DUO1	YGL061C
chrVII	390065	391990	+	YBP2	YGL060W
chrVII	392223	393698	+	PKP2	YGL059W
chrVII	393986	394504	+	RAD6	YGL058W
chrVII	394966	395829	-	GEP7	YGL057C
chrVII	396035	397618	-	SDS23	YGL056C
chrVII	398628	400160	+	OLE1	YGL055W
chrVII	400871	401287	-	ERV14	YGL054C
chrVII	401527	401598	-	YNCG0016C	YNCG0016C
chrVII	402589	403302	+	PRM8	YGL053W
chrVII	403687	404391	+	MST27	YGL051W
chrVII	405470	405541	+	YNCG0017W	YNCG0017W
chrVII	405776	406597	+	TYW3	YGL050W
chrVII	406860	409604	-	TIF4632	YGL049C
chrVII	410069	411286	-	RPT6	YGL048C
chrVII	411552	412160	+	ALG13	YGL047W
chrVII	412294	412367	-	YNCG0018C	YNCG0018C
chrVII	414102	415730	+	RIM8	YGL045W
chrVII	416146	417036	-	RNA15	YGL044C
chrVII	417483	418412	+	DST1	YGL043W
chrVII	418704	418886	-	YGL041C-B	YGL041C-B
chrVII	418825	419289	+	DPC13	YGL041W-A
chrVII	419527	420555	-	HEM2	YGL040C
chrVII	423092	423205	+	SUP54	YNCG0019W
chrVII	423961	425007	+	YGL039W	YGL039W
chrVII	425362	426804	-	OCH1	YGL038C
chrVII	427297	427947	-	PNC1	YGL037C
chrVII	428601	431330	+	YGL036W	YGL036W
chrVII	431548	433062	-	MIG1	YGL035C
chrVII	433214	433579	-	YGL034C	YGL034C
chrVII	435625	436401	+	HOP2	YGL033W
chrVII	436570	436833	-	AGA2	YGL032C
chrVII	437467	437934	-	RPL24A	YGL031C
chrVII	439091	439638	+	RPL30	YGL030W
chrVII	440063	440425	+	CGR1	YGL029W
chrVII	440716	440807	-	YNCG0020C	YNCG0020C
chrVII	441281	442909	-	SCW11	YGL028C
chrVII	443642	446143	-	CWH41	YGL027C
chrVII	446412	448535	-	TRP5	YGL026C
chrVII	448764	449957	-	PGD1	YGL025C
chrVII	450197	452104	-	PIB2	YGL023C
chrVII	452404	454560	+	STT3	YGL022W
chrVII	454785	457067	+	ALK1	YGL021W
chrVII	457163	457870	-	GET1	YGL020C
chrVII	458156	458992	+	CKB1	YGL019W
chrVII	459110	459664	-	JAC1	YGL018C
chrVII	459854	461365	+	ATE1	YGL017W
chrVII	461666	464911	+	KAP122	YGL016W
chrVII	465043	465435	-	BIL2	YGL015C
chrVII	466141	468807	+	PUF4	YGL014W
chrVII	469092	472298	-	PDR1	YGL013C
chrVII	472855	474276	+	ERG4	YGL012W
chrVII	474489	475247	-	SCL1	YGL011C
chrVII	475545	476069	+	MPO1	YGL010W
chrVII	476313	478652	-	LEU1	YGL009C
chrVII	479910	482666	-	PMA1	YGL008C
chrVII	482941	483027	-	YGL007C-A	YGL007C-A
chrVII	483260	483637	+	BRP1	YGL007W
chrVII	485423	485533	+	YGL006W-A	YGL006W-A
chrVII	485921	489442	+	PMC1	YGL006W
chrVII	489708	490547	-	COG7	YGL005C
chrVII	490703	491956	-	RPN14	YGL004C
chrVII	492474	494174	-	CDH1	YGL003C
chrVII	494517	495167	+	ERP6	YGL002W
chrVII	495453	496502	-	ERG26	YGL001C
chrVII	497133	498034	-	EFM5	YGR001C
chrVII	498476	499906	-	SWC4	YGR002C
chrVII	500132	502366	+	CUL3	YGR003W
chrVII	502938	504326	+	PEX31	YGR004W
chrVII	504657	505859	-	TFG2	YGR005C
chrVII	506070	506825	+	PRP18	YGR006W
chrVII	506969	507940	+	ECT1	YGR007W
chrVII	508110	508364	-	STF2	YGR008C
chrVII	509047	511002	-	SEC9	YGR009C
chrVII	511545	512732	+	NMA2	YGR010W
chrVII	513159	514340	+	MCY1	YGR012W
chrVII	514554	516416	+	SNU71	YGR013W
chrVII	516943	520863	+	MSB2	YGR014W
chrVII	521090	522076	-	EAT1	YGR015C
chrVII	522261	522833	+	YGR016W	YGR016W
chrVII	523787	524680	+	YGR017W	YGR017W
chrVII	524365	524694	-	YGR018C	YGR018C
chrVII	525229	526644	+	UGA1	YGR019W
chrVII	526973	527329	-	VMA7	YGR020C
chrVII	527632	528504	+	DPC29	YGR021W
chrVII	529264	530919	+	MTL1	YGR023W
chrVII	531610	531681	+	YNCG0021W	YNCG0021W
chrVII	531883	532596	-	THG1	YGR024C
chrVII	532639	532941	+	YGR025W	YGR025W
chrVII	532985	533821	+	YGR026W	YGR026W
chrVII	534132	534458	-	RPS25A	YGR027C
chrVII	536057	541325	+	YGR027W-B	YGR027W-B
chrVII	536057	537379	+	YGR027W-A	YGR027W-A
chrVII	541850	541921	+	YNCG0022W	YNCG0022W
chrVII	542203	543291	+	MSP1	YGR028W
chrVII	543553	544205	+	ERV1	YGR029W
chrVII	544577	544648	-	YNCG0023C	YNCG0023C
chrVII	545370	545566	+	SNR46	YNCG0024W
chrVII	545681	546157	-	POP6	YGR030C
chrVII	546441	547469	+	IMO32	YGR031W
chrVII	546809	547300	-	NAG1	YGR031C-A
chrVII	548264	553951	+	GSC2	YGR032W
chrVII	554248	554967	-	TIM21	YGR033C
chrVII	555812	556672	+	RPL26B	YGR034W
chrVII	557072	557422	-	YGR035C	YGR035C
chrVII	557565	557786	+	YGR035W-A	YGR035W-A
chrVII	558149	558868	-	CAX4	YGR036C
chrVII	559731	559994	-	ACB1	YGR037C
chrVII	560682	561350	+	ORM1	YGR038W
chrVII	561662	561743	-	YNCG0025C	YNCG0025C
chrVII	562199	567467	-	YGR038C-B	YGR038C-B
chrVII	566145	567467	-	YGR038C-A	YGR038C-A
